cohort,old_solver_feasible,old_monitor_compliant,old_success,old_core_total_time,old_num_binary_variables,scenario_id,scenario_path,ego_id,rule,repeat,encoding,num_steps,solver_feasible,monitor_compliant,success,specification_time,solver_setup_time,solve_time,core_total_time,validation_time,gurobi_runtime,num_variables,num_binary_variables,num_constraints,solver_status,mip_gap,robustness,updated_tv,updated_other_id,updated_diagnostics,candidate_sd_at_tv,error
all_cases,True,True,True,2.0146590399999695,358,DEU_LocationALower-34_37_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-34_37_T-1.xml,9,R_G1,0,standard,20,True,True,True,0.012260729999979958,0.7022063639997214,0.01934656699995685,0.7338136609996582,0.06866684899978281,0.018730878829956055,1372,330,2053,2,4.343469486962683e-15,0.009999999999195097,inf,,,,
all_cases,True,True,True,1.5158291349998763,378,DEU_LocationALower-11_131_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-11_131_T-1.xml,18,R_G1,0,standard,21,True,True,True,0.009328018999440246,0.8030347269996128,0.043647169000905706,0.8560099149999587,0.08376989799944567,0.04288601875305176,1535,378,2271,2,0.0,0.00999999999942247,inf,,,,
all_cases,True,True,True,2.192289501999767,357,DEU_LocationALower-11_4_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-11_4_T-1.xml,18,R_G1,0,standard,21,True,True,True,0.00708546900023066,0.7618586469998263,0.01597652100099367,0.7849206370010506,0.06678407000072184,0.015259027481079102,1472,357,2187,2,0.0,0.009999999994988684,inf,,,,
all_cases,True,True,True,2.6107724929988763,378,DEU_LocationALower-11_43_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-11_43_T-1.xml,17,R_G1,0,standard,21,True,True,True,0.009486515000389772,0.8183129009994445,0.032708988001104444,0.8605084040009388,0.20026600600067468,0.03196096420288086,1535,378,2271,2,2.761804855183635e-15,0.00999999999942247,inf,,,,
all_cases,True,True,True,1.9026766669994686,378,DEU_LocationALower-11_56_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-11_56_T-1.xml,15,R_G1,0,standard,21,True,True,True,0.00717621900002996,0.7975632459983899,0.033787261998440954,0.8385267269968608,0.07846200899984979,0.03275895118713379,1535,378,2271,2,1.7529192261349604e-15,0.009999999994988684,inf,,,,
all_cases,True,True,True,1.7904547570014984,378,DEU_LocationALower-11_64_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-11_64_T-1.xml,18,R_G1,0,standard,21,True,True,True,0.00772341999982018,0.8419282509985351,0.01391888500074856,0.8635705559991038,0.0804998900002829,0.013029098510742188,1535,378,2271,2,1.4358032186559816e-15,0.00999999999942247,inf,,,,
all_cases,True,True,True,1.7107201170001645,378,DEU_LocationALower-12_109_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-12_109_T-1.xml,20,R_G1,0,standard,21,True,True,True,0.011206791001313832,0.8827115780004533,0.01627311899937922,0.9101914880011464,0.09992311899986817,0.015558004379272461,1535,378,2271,2,1.8645213045647475e-15,0.00999999999942247,inf,,,,
all_cases,True,True,True,2.450634976999936,378,DEU_LocationALower-12_217_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-12_217_T-1.xml,14,R_G1,0,standard,21,True,True,True,0.009274575999370427,0.8901082499996846,0.05169213299996045,0.9510749589990155,0.08089689100052055,0.050868988037109375,1535,378,2271,2,0.0,0.009999999996807674,inf,,,,
all_cases,True,True,True,1.5738582920002955,357,DEU_LocationALower-12_52_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-12_52_T-1.xml,26,R_G1,0,standard,21,True,True,True,0.01240220899853739,0.8346646139998484,0.014641988000221318,0.8617088109986071,0.2625217349996092,0.013664960861206055,1472,357,2187,2,0.0,0.01,inf,,,,
all_cases,True,True,True,1.6347399810001662,357,DEU_LocationALower-13_162_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-13_162_T-1.xml,21,R_G1,0,standard,21,True,True,True,0.011366173999704188,0.8418841820002854,0.01747290900129883,0.8707232650012884,0.0928191559996776,0.016592025756835938,1472,357,2187,2,0.0,0.009999999994988684,inf,,,,
