scenario_id,scenario_path,ego_id,rule,repairer_type,planner,sat_solver_mode,success,iterations,tv,tc,updated_tv,domain_dict_size,domain_dict_time,sat_time,clcs_time,constraint_extraction_time,constraint_conversion_time,lp_time,trajectory_build_time,core_total_time,wall_time,error
DEU_AachenBendplatz-1_155320_T-5339,scenarios/experiment_scenarios/ind_2024/DEU_AachenBendplatz-1_155320_T-5339.xml,10335,R_IN1,vp,2,domain_dpll,True,1,4,0,inf,6,0.0031576156616210938,8.702278137207031e-05,0.0017423629760742188,0.0009779930114746094,0.0010616779327392578,0.004181861877441406,0.0005331039428710938,0.009999275207519531,0.9065170288085938,
DEU_AachenBendplatz-1_155320_T-5339,scenarios/experiment_scenarios/ind_2024/DEU_AachenBendplatz-1_155320_T-5339.xml,10335,R_IN1,smt,2,dpll,True,3,4,2,inf,0,0.0,4.3392181396484375e-05,0.0,0.0,0.0,0.0,0.0,0.1111135482788086,1.1306548118591309,
DEU_AachenBendplatz-1_75140_T-5159,scenarios/experiment_scenarios/ind_2024/DEU_AachenBendplatz-1_75140_T-5159.xml,10203,R_IN1,vp,2,domain_dpll,True,1,2,0,inf,6,0.0018754005432128906,7.987022399902344e-05,0.0010514259338378906,0.00037479400634765625,0.0010266304016113281,0.0030214786529541016,0.000274658203125,0.00665283203125,0.9080212116241455,
DEU_AachenBendplatz-1_75140_T-5159,scenarios/experiment_scenarios/ind_2024/DEU_AachenBendplatz-1_75140_T-5159.xml,10203,R_IN1,smt,2,dpll,False,2,2,1,0.4,0,0.0,2.7418136596679688e-05,0.0,0.0,0.0,0.0,0.0,1.1558983325958252,2.2168195247650146,repaired trajectory remains non-compliant: updated_tv=0.4
DEU_AachenBendplatz-1_171600_T-1619,scenarios/experiment_scenarios/ind_2024/DEU_AachenBendplatz-1_171600_T-1619.xml,10125,R_IN1,vp,2,domain_dpll,True,1,2,0,inf,6,0.0025544166564941406,7.414817810058594e-05,0.0013973712921142578,0.0007135868072509766,0.0009741783142089844,0.0041980743408203125,0.00037789344787597656,0.008892297744750977,0.9078710079193115,
DEU_AachenBendplatz-1_171600_T-1619,scenarios/experiment_scenarios/ind_2024/DEU_AachenBendplatz-1_171600_T-1619.xml,10125,R_IN1,smt,2,dpll,False,3,2,1,0.4,0,0.0,4.291534423828125e-05,0.0,0.0,0.0,0.0,0.0,1.0392827987670898,2.125047445297241,repaired trajectory remains non-compliant: updated_tv=0.4
DEU_AachenBendplatz-1_124700_T-4719,scenarios/experiment_scenarios/ind_2024/DEU_AachenBendplatz-1_124700_T-4719.xml,10320,R_IN1,vp,2,domain_dpll,True,1,2,0,inf,6,0.002735614776611328,7.367134094238281e-05,0.0015208721160888672,0.0008437633514404297,0.0010259151458740234,0.0034449100494384766,0.00028324127197265625,0.008407115936279297,0.875187873840332,
DEU_AachenBendplatz-1_124700_T-4719,scenarios/experiment_scenarios/ind_2024/DEU_AachenBendplatz-1_124700_T-4719.xml,10320,R_IN1,smt,2,dpll,False,3,2,0,0.4,0,0.0,4.38690185546875e-05,0.0,0.0,0.0,0.0,0.0,0.20834779739379883,1.1698899269104004,repaired trajectory remains non-compliant: updated_tv=0.4
DEU_AachenBendplatz-1_12700_T-719,scenarios/experiment_scenarios/ind_2024/DEU_AachenBendplatz-1_12700_T-719.xml,10035,R_IN1,vp,2,domain_dpll,True,1,4,0,inf,6,0.004632234573364258,7.43865966796875e-05,0.0023458003997802734,0.0018362998962402344,0.0010554790496826172,0.00441288948059082,0.0003070831298828125,0.01231837272644043,0.8786566257476807,
DEU_AachenBendplatz-1_12700_T-719,scenarios/experiment_scenarios/ind_2024/DEU_AachenBendplatz-1_12700_T-719.xml,10035,R_IN1,smt,2,dpll,True,2,4,0,inf,0,0.0,3.266334533691406e-05,0.0,0.0,0.0,0.0,0.0,0.72133469581604,1.8434710502624512,
